FID,GLG,Era,Age,Rock_Type,max_myo
0, ,No Data,No Data,,0
1,C,Carboniferous,352.2-299,Sedimentary,352
2,CmO,Cambrian-Ordovician,538.8-443.8,Sedimentary,538
3,Cv,Cretaceous-Tertiary,145-2.6,Igneous,145
4,D,Devonian,419.2-358.9,Sedimentary,419
5,H2O,None, ,H2O,0
6,JK,Jurassic-Cretaceous,201.4-66,Sedimentary,201
7,K,Cretaceous,145-66,Sedimentary,146
8,MCi,Mesozoic-Cenozoic,252-0,Metamorphic,252
9,Mv,Mesozoic,252-66,Igneous,253
10,OS,Ordovician-Silurian,485.4-419.2,Sedimentary,485
11,P,Permian,298.9-251.9,Sedimentary,298
12,pC,Precambrian,46000-541,Undifferentiated,46000
13,PMi,Paleozoic-Mesozoic,541-66,Metamorphic,541
14,Q,Quarternary,2.58-0,Sedimentary,2
15,S,Silurian,443.8-419.2,Sedimentary,443
16,T,Tertiary,66-2.6,Sedimentary,66
17,Tr,Triassic,251.9-201.3,Sedimentary,251